sentence,compound,pos,neu,neg,transcript_id
Then I'll try to put all these things together and create  like  the front end of the website and bring all the code together and yeah.,0.7003,0.228,0.772,0.0,p35
So that was my team experience.,0.0,0.0,1.0,0.0,p35
Ok  so that's [pause] Can you tell me one of your weaknesses and what you are doing to overcome it?,-0.0772,0.097,0.793,0.11,p35
I think one of my weaknesses is  um  when I am working on a team sometimes I try to do too much myself.,-0.3612,0.0,0.898,0.102,p35
Um  like  sometimes  like  people are  say: oh what can I help you with?,0.7717,0.412,0.588,0.0,p35
but if they had previously shown inconsistency in the past  then I'll try to get it done on my own and not really  like delegate things to them  so yeah.,0.2045,0.109,0.805,0.086,p35
That's something I need to work on I think.,0.0,0.0,1.0,0.0,p35
And  what are you doing to overcome it?,0.0,0.0,1.0,0.0,p35
Uh  to overcome it  I am trying to be a better leader.,0.4404,0.209,0.791,0.0,p35
Um  I am actually going through this leadership  uh  program right now.,0.0,0.0,1.0,0.0,p35
It's called CCLP  so that's been helping me a lot with my leadership skills.,0.3535,0.159,0.841,0.0,p35
Excellent.,0.5719,1.0,0.0,0.0,p35
Why do you think we should hire you?,0.0,0.0,1.0,0.0,p35
I think you should hire me because I have the necessary background experience.,0.0,0.0,1.0,0.0,p35
Um  from my past summers at  uh  Wells Fargo and also because I can get work done.,0.25,0.111,0.889,0.0,p35
I will work well on a team  but at the end of the day if things aren't getting done  I will over-compensate and do it myself.,0.1406,0.058,0.942,0.0,p35
So  you can count on me to meet the deadlines necessary at your firm.,0.0,0.0,1.0,0.0,p35
How are you doing today?,0.0,0.0,1.0,0.0,p37
Huh  pretty well  how are you?,0.6486,0.57,0.43,0.0,p37
Me too.,0.0,0.0,1.0,0.0,p37
tell me about yourself.,0.0,0.0,1.0,0.0,p37
Um i am a junior in course 18 which is applied math.,0.0,0.0,1.0,0.0,p37
Uh  Obviously I go to MIT  uhm.,0.0,0.0,1.0,0.0,p37
whoops sorry.,-0.0772,0.0,0.435,0.565,p37
I'm also probably going to major in management science uhm  as well as I'm really interested in minoring in economics.,0.624,0.221,0.779,0.0,p37
Um outsie of academics I do a lot of sports  I play water polo  I rock clmb a lot  uhm I run and bike a lot and uh I'm involved in lots of random clubs at MIT so I like to keep busy.,0.6344,0.112,0.888,0.0,p37
Tell me about a time you demonstrated leadership Uhm well I've been swimming  well I was a varsity swimmer in hs as well as college   uhm  so I swam competitively for 15 years.,0.6486,0.174,0.826,0.0,p37
Uhm  so I was the captain of my high school as well as my summer club swim team.,0.2732,0.11,0.89,0.0,p37
Uhm  leadership wise I guess the summer swim team was where I felt like I had  had the most influential leadership position.,0.8313,0.316,0.684,0.0,p37
Uhm   just because I was on the same team for 14 years.,0.0,0.0,1.0,0.0,p37
Uhm and so I really got to develop my relationships with all of the younger swimmers  uhm  even before I was in an official captain position Great  can you give me an idea of like  how you... Oh  um  so I did a lot of uh  uh  coaching of younger kids  uhm  a lot of team management as in like setting up events  setting up meets  heping meets and everything running smoothly  uhm  as well as just leading   you know  cheers  helping people stay focus and stay organized at practices.,0.9382,0.164,0.836,0.0,p37
Great.,0.6249,1.0,0.0,0.0,p37
Tell me about a time you were working on a team and faced a challenge.,0.0772,0.085,0.915,0.0,p37
How did you solve that problem.,-0.2263,0.212,0.471,0.318,p37
Hm well I was on the financial metrics team  in my internship last summer which was basically just the quantitative analysis team.,0.2732,0.091,0.909,0.0,p37
Uhm  and so we had a problem in one of our like  quantitative analysis programs that was running and non one really knew where it was coming from.,-0.0516,0.08,0.833,0.087,p37
So as a team we uh  like divide and conquer  broke down uh individual sections of the program to look at and uh  correlated those with each persons expertise  so I analyzed mainly the R portion whereas um  my teammate  my coworker and lets me lead my sequel portion of the code and broke it up that way  I guess.,-0.4767,0.038,0.876,0.086,p37
Great  and you guys found the problem?,0.34,0.347,0.424,0.229,p37
Yeah  eventually Great With help from the uh  finance expert Can you tell me one of your weaknesses and what you're doing to overcome it?,0.7579,0.277,0.646,0.077,p37
Uhm  Hm.,0.0,0.0,1.0,0.0,p37
I would say one of my weaknesses is that I don't always push myself hard enough  uhm as far as academically.,-0.4404,0.0,0.83,0.17,p37
I like to be challenged but I don't always seek those out.,0.1406,0.135,0.772,0.093,p37
Um  so to overcome that I have done a lot of searching through the MIT coursework to  uhm  find classes that look interesting as well as challenging and to sign up for a lot of classes that are outside just the minimum major requirements so that I could get a bit more of a challenge instead of just doing the bare minimum.,0.7152,0.121,0.879,0.0,p37
And why should we hire you?,0.0,0.0,1.0,0.0,p37
Uhm  because I'm a very fast learner.,0.0,0.0,1.0,0.0,p37
Um  I'm dedicated and I know how to work hard  because it's something that I've done for my entire life and  uh  I like being busy and I like working hard.,0.7351,0.217,0.707,0.076,p37
So if I'm given a task I'll work hard until its done well Great.,0.7003,0.333,0.591,0.075,p37
So  how are you doin'?,0.0,0.0,1.0,0.0,p4
Pretty good.,0.7269,1.0,0.0,0.0,p4
Mmhmm.,0.0,0.0,1.0,0.0,p4
So  please tell me about yourself.,0.3804,0.341,0.659,0.0,p4
Uhh  so I'm a junior uhh studying aeronautics and astronautics at MIT.,0.0,0.0,1.0,0.0,p4
Mmhmm.,0.0,0.0,1.0,0.0,p4
Umm  so right now I'm currently in the middle of my junior year.,0.0,0.0,1.0,0.0,p4
I'm looking for a summer internship company and uhh- Mmhmm.,0.0,0.0,1.0,0.0,p4
Tell me a time when you demonstrated leadership.,0.0,0.0,1.0,0.0,p4
OK.,0.0,0.0,1.0,0.0,p4
Umm  so for example last year umm when we were working on a class project where we were uhh trying to design a G- uhh sorry a jet engine for GE.,-0.0772,0.0,0.958,0.042,p4
Mmhmm.,0.0,0.0,1.0,0.0,p4
Umm I had to work with a group of 4 people umm and to try to optimize certain uhh certain parameters for this engine.,0.7506,0.261,0.739,0.0,p4
Uhh- that we would have to present at uhh something to present to GE engineers.,0.0,0.0,1.0,0.0,p4
Umm during that time one of my team members uhh actually got really sick and he actually had to uhh go medical for a couple days and he wasn't really able to do much.,-0.5563,0.0,0.902,0.098,p4
And uhh another person ended up uhh sh- wasn't showing up very much so during that time I sort of basically had to facilitate uhh the people who weren't sick uhh and basically help them communicate  talk to each other  and set up meetings.,0.6599,0.114,0.886,0.0,p4
Uhh  I sort of took the helm on uhh towards uhh towards the end on a lot of that and basically got everybody together to to complete this project.,0.0,0.0,1.0,0.0,p4
Mmhmm.,0.0,0.0,1.0,0.0,p4
Tell me about a time when you were working on a team and were faced with a different challenge.,0.0772,0.067,0.933,0.0,p4
How did you solve that problem?,-0.2263,0.212,0.471,0.318,p4
Umm uhh umm so over the summer I was working at at Auburn University.,0.0,0.0,1.0,0.0,p4
Mmhmm.,0.0,0.0,1.0,0.0,p4
Um I was doing uhh UAV collision avoidance algorithms.,-0.6369,0.0,0.574,0.426,p4
Hmm.,0.0,0.0,1.0,0.0,p4
So like uhh programming things to allow to allow a whole bunch of UAVs flying in the same airspace uhh to basically get to their directives without crashing into each other.,0.6801,0.191,0.809,0.0,p4
Umm I was working with a partner  but in a larger context of umm a dozen students.,0.0,0.0,1.0,0.0,p4
Umm as it turns out umm the challenge in this case was that although it was sort of like a programming AI sort of aeronautics umm sort of project  uhh my partner came from a chemical engineering background and did not really have any programming experience nor she had she had experience with umm with sort of UAV design.,0.3626,0.058,0.942,0.0,p4
Umm so that became a bit of an issue  umm but umm I think basically what ended up happening was I worked with umm a grad student there and like all the people to basically bring her up to speed.,0.5023,0.077,0.923,0.0,p4
Basically sort of teach her programming from the ground up  up to a level where she might be able to help with programming like in a uhh a uhh for UAV.,0.6369,0.152,0.848,0.0,p4
And umm in that case I drew upon a lot of resources that were available there.,0.0,0.0,1.0,0.0,p4
Umm you know there were grad students who were helping helping us  the professor who was in charge of the ex- uhh the project as well as with other students in the program.,0.6705,0.178,0.822,0.0,p4
Tell me about one of your weaknesses and how you plan to overcome it.,-0.3612,0.0,0.839,0.161,p4
Ummm  so I think one of my weaknesses is that umm I have a tendency to to show up uhh to things kind to things kind of late.,0.2263,0.107,0.815,0.078,p4
Umm this is actually probably after I'm used to after I'm used to going to a certain place umm because I have a tendency to think that  and especially in the mornings because I have a tendency to think oh I can get to a certain place uhh by biking uhh at a certain speed.,0.6486,0.108,0.892,0.0,p4
So  I think uhh what I tend to do uhh what I'm trying to do nowadays to try to overcome that is basically get to somewhere before hand and then basically uhh do work there as opposed to try to do work umm away from a place where I need to be and like sort of try to make it there in the nick of time.,0.6908,0.082,0.918,0.0,p4
It's something that I've tried to implement over the past couple weeks.,0.0,0.0,1.0,0.0,p4
Now  why do you think we should hire you?,0.0,0.0,1.0,0.0,p4
Umm I think you should hire me  because umm basically I've demonstrated over the past couple years umm a fair amount of research experience  a fair amount of experience in and out umm in and out of the classroom in both umm sort of an academic setting and in a research and development setting uhh such that I think I would be an asset to your company.,0.7269,0.1,0.9,0.0,p4
Umm I think that my past experience with both uhh software and hardwares in aeronautics makes it so that uhh I have a good balance that would be useful to you.,0.7003,0.167,0.833,0.0,p4
Oh  thank-,0.3612,0.714,0.286,0.0,p4
So  Jay  please tell me about yourself.,0.3774,0.301,0.699,0.0,p42
Um  so I'm a junior at MIT.,0.0,0.0,1.0,0.0,p42
I'm in aerospace engineering.,0.0,0.0,1.0,0.0,p42
Um  I'm thinking of doing more of the  the aeronautics side rather than the astronautics side  although I don't have to decide until later.,0.0,0.0,1.0,0.0,p42
Um  I'm in ROTC and  you know  in the Air Force portion.,0.0,0.0,1.0,0.0,p42
I'm hoping to become a pilot.,0.4215,0.359,0.641,0.0,p42
Uh  I applied pretty recently and I'll find out maybe in February or March of next year.,0.4939,0.167,0.833,0.0,p42
Um  I'm also in Sigma Alpha Epsilon fraternity.,0.0,0.0,1.0,0.0,p42
Our house is on the East campus across the river and I've been living there since I was a sophomore.,0.0,0.0,1.0,0.0,p42
Um  that's  that's basically me.,0.0,0.0,1.0,0.0,p42
Excellent.,0.5719,1.0,0.0,0.0,p42
So uh  tell me about a time when you demonstrated leadership.,0.0,0.0,1.0,0.0,p42
Um  so  probably the biggest chance I got to demonstrate leadership so far in my life has been this past summer when I went to pretty much ROTC's version of boot camp.,0.6369,0.148,0.852,0.0,p42
It's called field training and it's about a month long and it's in Alabama.,0.0,0.0,1.0,0.0,p42
And it's pretty much a test to see what you'd do in really stressful situations.,-0.101,0.162,0.657,0.182,p42
So  uh  they'd give us pretty big things like we'd have to be in charge of 40 or 50 people and we'd have to make sure they got to this place at the right time and then do um  I guess the correct action when we get there.,0.7906,0.151,0.849,0.0,p42
And make sure nobody's going astray or making sure that like all the obstacles the instructors set up  uh  we can overcome them.,0.5423,0.247,0.662,0.091,p42
So  being in charge of people for a good two or three days when everything is just so high stress is probably um  the most challenging leadership experience I've ever had.,0.1815,0.134,0.781,0.086,p42
Hm.,0.0,0.0,1.0,0.0,p42
That's all very interesting.,0.4576,0.499,0.501,0.0,p42
So  can you tell me about a time when you were working on a team and you were faced with a challenge.,0.0772,0.058,0.942,0.0,p42
How did you solve the problem.,-0.2263,0.212,0.471,0.318,p42
Um  hm  to give I guess a non-ROTC-related example  um  as we have a decent amount of projects in um  Core 16 like Unified is  a lot  is very project based in the second semester and  um  one of the biggest problems we had in our specific group was the way that um  I guess  the work was being allocated.,0.34,0.079,0.88,0.042,p42
So at first  it was supposed to be um  very evenly divided so each person on the four-person team would do a quarter of the work.,0.0,0.0,1.0,0.0,p42
But  um  some people started doing a little bit less and some people started doing a little bit more.,0.0,0.0,1.0,0.0,p42
And by the middle of the semester  it was very unequal.,-0.4005,0.0,0.788,0.212,p42
And so  it was kind of getting  you know  under everyone's skin.,0.0,0.0,1.0,0.0,p42
So  as a group  after we um  we realized that it just wouldn't  it was really a detriment to our productivity  we all had a group meeting and said  listen  this is what we have to do.,0.0,0.0,1.0,0.0,p42
We have to reallocate the certain things that are um  are the parts of the project that um  we had  we wanted to originally and um  it just kind of went astray.,0.2732,0.063,0.937,0.0,p42
So  we did that  and we became a lot better.,0.4404,0.244,0.756,0.0,p42
Excellent.,0.5719,1.0,0.0,0.0,p42
So  um  can you tell me about a time when you were working on a team and you were faced with a challenge.,0.0772,0.056,0.944,0.0,p42
How did you solve the problem?,-0.2263,0.212,0.471,0.318,p42
Um  working on a team  faced with a challenge.,0.0772,0.14,0.86,0.0,p42
Um  hm.,0.0,0.0,1.0,0.0,p42
I can think of um  try to not um  hit the same categories.,0.0,0.0,1.0,0.0,p42
So um  in SAE  in the fraternity that I'm in  last semester I was the recruitment chair.,0.0,0.0,1.0,0.0,p42
So  the  the job for the recruitment chair is essentially to plan Rush.,0.0,0.0,1.0,0.0,p42
Like  plan our events for CPW  plan our events for fall rush  plan our events for spring rush for a full calendar year  or for a full school year  excuse me.,0.4215,0.116,0.884,0.0,p42
Um  and  the question was challenges in a group  right?,0.0772,0.126,0.874,0.0,p42
Um  this was  tell me about when you were  tell me about a time when you were working on a team and were faced with a challenge.,0.0772,0.048,0.952,0.0,p42
Okay.,0.2263,1.0,0.0,0.0,p42
How you solved the problem.,-0.1531,0.269,0.385,0.346,p42
So it's challenges and teamwork.,0.1477,0.283,0.717,0.0,p42
So  challenges and teamwork.,0.1513,0.347,0.653,0.0,p42
So  rush is very team-oriented because you're trying to work with your brothers to um  really see I guess  which freshmen uh  are the most compatible with your fraternity.,0.0,0.0,1.0,0.0,p42
And that you'd probably have the best time with.,0.6369,0.344,0.656,0.0,p42
So  the way I set it up was we actually did work in small teams of about 4 or 5 brothers and we'd go out and you know  do fun things and meet freshmen.,0.5106,0.091,0.909,0.0,p42
I would say the biggest problem with that during rush is that some teams were a lot more active than others.,0.0754,0.121,0.769,0.109,p42
And the team that I was in  uh  was a little bit less active and  of course as being rush chair  I didn't want that to be the case.,0.2314,0.071,0.889,0.04,p42
I wanted to change that.,0.0,0.0,1.0,0.0,p42
So  um  especially in situations where you don't have um  you don't have like hard  given  not given  but like outlined powers.,-0.4717,0.047,0.78,0.173,p42
Like you're not someone's boss.,0.3612,0.385,0.615,0.0,p42
You're just like another brother in the fraternity.,0.3612,0.263,0.737,0.0,p42
Um  the best kind of way to convince people to do something that you want to do is through positive motivation.,0.91,0.458,0.542,0.0,p42
So that's what I ended up using a lot to get for a while as rush chair to get people to go out.,0.0,0.0,1.0,0.0,p42
So it was all  always being like very excited to do it and like knowing that you're passionate about it and telling them  or and like having them realize that oh  this is a really good thing that we should be doing.,0.9412,0.318,0.682,0.0,p42
And it will really help us out and it will be fun.,0.7425,0.386,0.614,0.0,p42
So that's how I solved that problem.,-0.1531,0.214,0.51,0.276,p42
Uh  very good.,0.4927,0.615,0.385,0.0,p42
So  can you tell me about your greatest weakness and what you're doing to improve upon it?,0.6486,0.297,0.586,0.117,p42
So  my greatest weakness.,0.3431,0.469,0.21,0.321,p42
I normally would probably have to think a lot more about.,0.0,0.0,1.0,0.0,p42
But  I actually had a similar conversation with um one of my bosses in ROTC about a month and a half ago.,0.0,0.0,1.0,0.0,p42
So  I would say my greatest weakness is when I get put in really stressful situations  I will tend to jump to a decision or a conclusion too quickly and won't necessarily think about  or  I think through the whole process um  like to fruition.,0.079,0.124,0.758,0.118,p42
I'll kind of like hurry up and want to get to something so  um  so the situation can be like  I guess resolved.,0.6915,0.289,0.711,0.0,p42
So what I'm working on is just being able to like even in a stressful situation and I know it is a problem to kind of slow down and take a step back and really like at things kind of from a higher altitude.,-0.1796,0.103,0.78,0.117,p42
That's very good.,0.4927,0.615,0.385,0.0,p42
And so  think about a job that you'd like later.,0.3612,0.217,0.783,0.0,p42
Why do you think we should hire you for this position?,0.0,0.0,1.0,0.0,p42
Um  I'm a really hard worker.,-0.1761,0.0,0.747,0.253,p42
I absolutely will devote myself to um  this company.,0.3976,0.251,0.749,0.0,p42
I  I think as a team member  I'm very cooperative.,0.0,0.0,1.0,0.0,p42
Uh  if the goal we have as a team  if I agree with it  and for the most part I will.,0.3612,0.111,0.889,0.0,p42
And if I won't then I'll voice  and like I'll voice my concerns and try to make it something everyone can agree on.,0.6124,0.192,0.808,0.0,p42
And if I agree on it  um  then I am or I'll definitely be able to participate in the team in a very productive manner.,0.6369,0.184,0.816,0.0,p42
I'll be a very good follower and if  um  if it's needed I can be a very good leader as well.,0.8169,0.32,0.68,0.0,p42
Thank you Jay  I appreciate you coming.,0.6369,0.51,0.49,0.0,p42
All right.,0.0,0.0,1.0,0.0,p42
So  can you tell me about yourself?,0.0,0.0,1.0,0.0,p43
Sure  so I'm a senior at MIT in management and computer science.,0.3182,0.173,0.827,0.0,p43
Uhm  I'm really interested in the intersection of the two.,0.4576,0.25,0.75,0.0,p43
So  you know  not just  uhm  you know  how computers can  you know  you know  how  like the best algorithms to do about computers?,0.7717,0.233,0.767,0.0,p43
like you know inventing the next algorithm  the next compression algorithm  not really something that I'm interested in doing.,0.6369,0.234,0.766,0.0,p43
But uh really finding how computers can help apply to peoples lives and make new businesses or improve existing businesses.,0.8126,0.291,0.709,0.0,p43
Excellent.,0.5719,1.0,0.0,0.0,p43
Let me open my questions up here.,0.0,0.0,1.0,0.0,p43
So  uhm  can you tell of a time where you demonstrate leadership?,0.0,0.0,1.0,0.0,p43
Sure  so  uhm  I guess I'd say earlier this year.,0.3182,0.204,0.796,0.0,p43
So I'm actually the president of Baker house and earlier in the beginning of the year in MIT we had this process called REX; Residence Exploration where all the dorms try and throw events and somehow  you know  recruit or retain the freshmen that they have.,0.2263,0.041,0.959,0.0,p43
Uhm  and  the REX Event that we had uh  we threw a bunch of events  had about ten workers that we had  were able to give early arrival to.,0.0,0.0,1.0,0.0,p43
So free housing.,0.5563,0.642,0.358,0.0,p43
Uh  so we ran about five or six events the largest of which was a party where we had over seven-hundred people attend.,0.4019,0.109,0.891,0.0,p43
Wow.,0.5859,1.0,0.0,0.0,p43
So can you tell me about a time where you're working on a team and face a challenge?,0.0772,0.071,0.929,0.0,p43
how did you go about resolving it?,0.3818,0.302,0.698,0.0,p43
Sure.,0.3182,1.0,0.0,0.0,p43
So I think there's  you know  always been challenges.,0.0772,0.14,0.86,0.0,p43
So last summer when I was at Disney  uhm  there were  there was some disagreement about uh  how we should  when we should schedule  the  uh  what week we should schedule the  uh  trial for.,-0.3612,0.0,0.932,0.068,p43
Uhm  and there was some disagreement about whether we should have it later because of uhm  uh  dates for when the program would be ready but if we had it passed a certain date then we'd have to have the app also consider time zone issues.,0.3919,0.09,0.875,0.036,p43
So basically just discussed with all the stake holders and let them know that  you know  by changing this date  pushing it back  we're adding scope to the app and we're going to have to make additional development changes and see if they would be able to be flexible to change it back.,0.2263,0.035,0.965,0.0,p43
Ahh  that makes sense.,0.0,0.0,1.0,0.0,p43
Yep.,0.296,1.0,0.0,0.0,p43
Uhm  so  uh  tell me about your greatest weakness and what you've done to over come it.,0.34,0.191,0.682,0.127,p43
Sure.,0.3182,1.0,0.0,0.0,p43
So I think the  the problem  uhm  that I have the most is  uh  in delegating task to people.,-0.4019,0.0,0.87,0.13,p43
So  uhm  I want to make sure that things are done properly so I tend to overly control on things.,0.4336,0.177,0.823,0.0,p43
So basically I've been thinking to myself alright is this something core that I really have to do?,0.25,0.105,0.895,0.0,p43
no.,0.0,0.0,1.0,0.0,p43
I think let's.,0.0,0.0,1.0,0.0,p43
you know  lets get someone else to do it  and that way also they also they learn it so  you know  when I graduate they're able to take on that role.,0.0,0.0,1.0,0.0,p43
Mhmm.,0.0,0.0,1.0,0.0,p43
Uhm.,0.0,0.0,1.0,0.0,p43
Thanks.,0.4404,1.0,0.0,0.0,p43
So I guess thinking  uhm  about a job that you like to apply for.,0.3612,0.161,0.839,0.0,p43
Sure.,0.3182,1.0,0.0,0.0,p43
Uh  Why should we hire you for this position?,0.0,0.0,1.0,0.0,p43
Sure.,0.3182,1.0,0.0,0.0,p43
I think uhm  I combine  you know  technical expertise with uh  business expertise and product expertise.,0.0,0.0,1.0,0.0,p43
So  hiring me as a product manager for your mobile app I think is  uh  would be optimal because I have expertise in all these areas and I've worked in all these areas in the past  uhm  and I'm able to bring that expertise to your organization in a way that I think few other candidates  uhm  have.,0.3612,0.042,0.958,0.0,p43
Ah  well thank you for coming.,0.5574,0.535,0.465,0.0,p43
Thank you for having me.,0.3612,0.385,0.615,0.0,p43
Um  please tell me about yourself.,0.3182,0.315,0.685,0.0,p44
Okay  um  my name's Evan  Evan Muray  I'm a junior here at MIT in computer science.,0.2263,0.112,0.888,0.0,p44
I'm originally from Louisville Kentucky.,0.0,0.0,1.0,0.0,p44
And  uh  yeah I currently live across the river.,0.296,0.216,0.784,0.0,p44
I heard about this study through e-mail.,0.0,0.0,1.0,0.0,p44
So  thought I'd check it out.,0.0,0.0,1.0,0.0,p44
So  I lived in Louisville.,0.0,0.0,1.0,0.0,p44
You did?,0.0,0.0,1.0,0.0,p44
Yeah.,0.296,1.0,0.0,0.0,p44
Nice.,0.4215,1.0,0.0,0.0,p44
Anyway.,0.0,0.0,1.0,0.0,p44
So can you tell me about a time when you served as a leader?,0.0,0.0,1.0,0.0,p44
A leader?,0.0,0.0,1.0,0.0,p44
Uh sure.,0.3182,0.697,0.303,0.0,p44
Um.,0.0,0.0,1.0,0.0,p44
A good example of that would be uh some of my extra curricular work  activities  so I'm involved in uh two activities in general that showcase my leadership skills.,0.4404,0.094,0.906,0.0,p44
One is Camp Kesem MIT which is a student organization here on campus at MIT uh each summer the organization puts on a summer camp for children who's parents have or have had cancer.,-0.6597,0.0,0.882,0.118,p44
Um  and I serve on the coordinator board for this organization.,0.0,0.0,1.0,0.0,p44
Um  in the past I was in charge of handling applications and contacting families of campers who'd would come to our camp and being in contact with them throughout the year  send them newsletters  send them updates  plan reunions for them.,0.0,0.0,1.0,0.0,p44
Uh this year I am in charge of asking the students on campus and getting students to apply to become counselors for our camp and (inaudible) with students  so I work as a coordinator I actually have a co-coordinator  we usually work in tandem.,0.0,0.0,1.0,0.0,p44
The other activity is dance troop.,0.0,0.0,1.0,0.0,p44
It's another student organization here at MIT  where we put on a show each year and dance  have some fun  it's a dance show  and I'm a choreography for that organization as well.,0.6597,0.148,0.852,0.0,p44
I lead a dance  teach people some dance moves for some fun.,0.5106,0.231,0.769,0.0,p44
Oh  that's all very excellent.,0.6115,0.5,0.5,0.0,p44
Thanks.,0.4404,1.0,0.0,0.0,p44
So  can you tell me a time when you were working on a team and you faced a challenge  how did you solve the problem?,-0.1531,0.112,0.791,0.097,p44
Sure  uh  I think a great example of that would be this past January  I participated in a web design competition here on campus  6470  I was on a team with my girlfriend and a mutual friend of ours.,0.8625,0.211,0.789,0.0,p44
It's always different working in a group with your friends as opposed to just hanging out with them.,0.4767,0.154,0.846,0.0,p44
There was a bit of conflict about how we wanted the website to go.,-0.3182,0.0,0.85,0.15,p44
We had different visions for how we wanted it to look  and I think for me the best way that I handled that was to sort of be willing to compromise because I think it's a very important skill and also just listening  active listening.,0.8718,0.21,0.79,0.0,p44
I was listening to why she wanted to make certain changes to the website.,0.2732,0.139,0.861,0.0,p44
And by doing that  um  I was able to uh figure out uh sort of like a common ground that we could work towards  I think we eventually did hit um and were able to move forward with this one conflict that I definitely remember because it was pretty big at the time but  I mean  we needed to get through it.,0.4411,0.085,0.89,0.025,p44
So tell me one of your greatest weaknesses and what you're doing to overcome it.,0.4019,0.213,0.66,0.127,p44
My greatest weakness... Hm.,0.34,0.467,0.222,0.311,p44
Okay.,0.2263,1.0,0.0,0.0,p44
Uh.,0.0,0.0,1.0,0.0,p44
I'd say my  one of my bigger weaknesses is  uh  I'd say  probably uh  self-starting  actually.,-0.3612,0.0,0.857,0.143,p44
It's something I've been working  it's like my goal for this year  to work on.,0.3612,0.152,0.848,0.0,p44
In the past I would do my classes  take my classes  and really just kind of do my schoolwork significantly outside of classes.,0.0,0.0,1.0,0.0,p44
If there's one thing I learned from being around all these amazing people here at MIT  is if you have an idea just go for it.,0.5859,0.132,0.868,0.0,p44
It's very easy  especially here  there's resources to do so  and  it's something that I want to work on  I have some ideas for projects I want to start on my own.,0.5849,0.166,0.834,0.0,p44
It's always been an issue for me to actually start on things and come up with ideas and really get started on certain projects.,0.2732,0.084,0.916,0.0,p44
But  this  I plan on starting my own website and doing some ideas with that  and hopefully I will gain some more experience in computer sciences.,0.8462,0.253,0.747,0.0,p44
Excellent.,0.5719,1.0,0.0,0.0,p44
So uh think of a job you'd like to get hired for  why do you think we should hire you?,0.3612,0.116,0.884,0.0,p44
Uh  I think one of my best qualities is the ability to really quickly  coming to MIT for example  I came to MIT with very little experience in the field computer science.,0.7579,0.178,0.822,0.0,p44
Many of my past internships  I've been going to  I don't have much experience  but I pride myself in the sort of grasp ideas quickly and uh build on top of those and use those to build solutions to problems.,0.4215,0.157,0.768,0.076,p44
I find that  uh  after doing some examples of a certain problem  or just playing around with it for a little bit  I can get to work on using that sort of technology.,0.0516,0.107,0.82,0.074,p44
In the past couple internships  I've had to deal with new languages  new framework  and I think that definitely more then compensates for any experience I'm lacking.,0.4019,0.094,0.906,0.0,p44
Excellent.,0.5719,1.0,0.0,0.0,p44
Thanks again for coming again.,0.4404,0.42,0.58,0.0,p44
No problem  thank you for having me.,0.0382,0.241,0.534,0.225,p44
Of course!,0.0,0.0,1.0,0.0,p44
So how are you?,0.0,0.0,1.0,0.0,p45
Pretty good  how are you?,0.7269,0.67,0.33,0.0,p45
Doing well.,0.2732,0.677,0.323,0.0,p45
So can you please tell me about yourself.,0.3744,0.268,0.732,0.0,p45
So uh my name's Bonnie.,0.0,0.0,1.0,0.0,p45
I'm a junior at MIT.,0.0,0.0,1.0,0.0,p45
I'm in core six which if you don't know is in computer science.,0.0,0.0,1.0,0.0,p45
I'm minoring in economics umm also mathematics.,0.0,0.0,1.0,0.0,p45
So I'm interested in you know application of data and quantitative reasoning to any sort of like interesting fields so  that includes like economics  finance  biology.,0.854,0.32,0.68,0.0,p45
So a vary wide array of interests.,0.25,0.25,0.75,0.0,p45
And I'm here today because well I was uh  told it would be a good time here with the behavior study.,0.6124,0.208,0.792,0.0,p45
Excellent.,0.5719,1.0,0.0,0.0,p45
I went to MIT myself.,0.0,0.0,1.0,0.0,p45
Oh what year were you?,0.0,0.0,1.0,0.0,p45
0-6.,0.0,0.0,1.0,0.0,p45
Okay.,0.2263,1.0,0.0,0.0,p45
Anyway  I'd like to ask you about your leadership experiences.,0.3612,0.217,0.783,0.0,p45
Can you tell me about a time when you served as a leader?,0.0,0.0,1.0,0.0,p45
Okay  so I'd say one fairly informal instance actually was over this last spring break.,0.2263,0.119,0.881,0.0,p45
A couple friends and I  four of us actually  so a fairly small group  um  we biked from Philadelphia to Boston over spring break because we thought that would be a good idea.,0.7184,0.162,0.838,0.0,p45
What it actually was  huh  there were some amazing ups  some amazing downs.,0.8225,0.409,0.591,0.0,p45
umm  Definitely a very memorable experience.,0.4019,0.351,0.649,0.0,p45
And there were just some points over the course of the trip when it was 45 degrees except your biking on the state highways  it's raining  and like ?,0.3612,0.082,0.918,0.0,p45
??,0.0,0.0,1.0,0.0,p45
so we felt like giving up a little bit  just heading back up  taking the train.,0.6326,0.269,0.731,0.0,p45
And I really riled people up in terms of reminding us why we were doing this and reminding us of the fact that we were already 60% of the way through we might as well push on all the way to the end of our journey.,0.2732,0.045,0.955,0.0,p45
Just like I guess evoking everyone's different motivation because everyone you know wants to do something awesome  but everyone has a slightly different motivation for why they join a team in the first place.,0.8585,0.284,0.716,0.0,p45
And I guess providing like individualized reasons and individualized motivations to uh you know different parts of our team as to why they came on in the first place and why that's still something that resonates with them.,0.3612,0.063,0.937,0.0,p45
And using that you know I was able to get the group back together and we did bike all the way back up here.,0.0,0.0,1.0,0.0,p45
So that was a very rewarding experience.,0.5709,0.381,0.619,0.0,p45
Excellent.,0.5719,1.0,0.0,0.0,p45
So you can about a time when you were working on a team and faced another challenge  how did you resolve it?,0.4404,0.163,0.837,0.0,p45
